722317,"BATON ROUGE RYAN ARPT",LA,-6.0,30.533,-91.150,20
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/1997,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,17.8,A,7,17.8,A,7,100,A,7,1018,A,7,190,A,7,1.5,A,7,400,A,7,30,A,7,2.9,E,8,0.067,F,8,0.170,F,8,0,1,A,7
01/01/1997,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,18.3,A,7,18.3,A,7,100,A,7,1018,A,7,0,A,7,0.0,A,7,400,A,7,30,A,7,2.9,E,8,0.067,F,8,0.170,F,8,0,1,A,7
01/01/1997,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,17.8,A,7,17.8,A,7,100,A,7,1017,A,7,0,A,7,0.0,A,7,400,A,7,30,A,7,2.9,E,8,0.067,F,8,0.170,F,8,0,1,A,7
01/01/1997,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,17.8,A,7,17.8,A,7,100,A,7,1017,A,7,0,A,7,0.0,A,7,400,A,7,30,A,7,2.9,E,8,0.067,F,8,0.170,F,8,0,1,A,7
01/01/1997,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,18.0,A,7,18.0,A,7,100,A,7,1017,A,7,0,A,7,0.0,A,7,400,A,7,15,A,7,2.9,E,8,0.067,F,8,0.170,F,8,0,1,A,7
01/01/1997,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,17.8,A,7,17.8,A,7,100,A,7,1017,A,7,0,A,7,0.0,A,7,300,A,7,30,A,7,2.8,E,8,0.067,F,8,0.170,F,8,0,1,A,7
01/01/1997,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,17.8,A,7,17.8,A,7,100,A,7,1017,A,7,30,A,7,1.5,A,7,300,A,7,30,A,7,2.8,E,8,0.067,F,8,0.170,F,8,0,1,A,7
01/01/1997,08:00,116,1332,13,1,24,0,1,27,13,1,24,1551,1,24,0,1,27,1551,1,24,502,1,43,10,E,9,10,A,7,17.8,A,7,17.8,A,7,100,A,7,1017,A,7,50,A,7,1.5,A,7,300,A,7,30,A,7,2.8,E,8,0.067,F,8,0.170,F,8,0,1,A,7
01/01/1997,09:00,370,1415,52,1,24,0,1,27,52,1,24,6108,1,24,0,1,27,6108,1,24,2120,1,43,10,E,9,10,A,7,17.8,A,7,17.8,A,7,100,A,7,1018,A,7,0,A,7,0.0,A,7,1600,A,7,122,A,7,2.8,E,8,0.067,F,8,0.170,F,8,0,1,A,7
01/01/1997,10:00,583,1415,88,1,24,0,1,27,88,1,24,10425,1,24,0,1,27,10425,1,24,3863,1,43,10,E,9,10,A,7,18.3,A,7,17.8,A,7,97,A,7,1018,A,7,0,A,7,0.0,A,7,1600,A,7,122,A,7,2.8,E,8,0.067,F,8,0.170,F,8,0,1,A,7
